name,layer,kind,independently_selectable,install_or_access_method,in_current_installer_gui,source_url,notes
Learn Claude Code,Initial curated Claude Code catalog,Harness/framework,yes,Clone reference repository,yes,local:desktop/catalog.json,Standalone selection in the existing installer catalog.
Karpathy Skills,Initial curated Claude Code catalog,Memory/context utility,yes,Clone reference repository,yes,local:desktop/catalog.json,Standalone selection in the existing installer catalog.
Superpowers,Initial curated Claude Code catalog,Plugin/skills framework,yes,Queue Claude Code plugin commands,yes,local:desktop/catalog.json,Standalone selection in the existing installer catalog.
Ponytail,Initial curated Claude Code catalog,Skill,yes,Install with npx skills,yes,local:desktop/catalog.json,Standalone selection in the existing installer catalog.
gstack,Initial curated Claude Code catalog,Skill pack/harness,yes,Clone into Claude skills and run setup,yes,local:desktop/catalog.json,Standalone selection in the existing installer catalog.
ECC,Initial curated Claude Code catalog,Plugin/harness/security,yes,Queue Claude Code plugin commands,yes,local:desktop/catalog.json,Standalone selection in the existing installer catalog.
taste-skill,Initial curated Claude Code catalog,Skill,yes,Install with npx skills,yes,local:desktop/catalog.json,Standalone selection in the existing installer catalog.
Anthropic Skills,Initial curated Claude Code catalog,Official skills marketplace,yes,Queue Claude Code marketplace commands,yes,local:desktop/catalog.json,Standalone selection in the existing installer catalog.
wshobson/agents,Initial curated Claude Code catalog,Plugin marketplace/subagents,yes,Queue Claude Code plugin commands,yes,local:desktop/catalog.json,Standalone selection in the existing installer catalog.
Claude Plugins Official,Initial curated Claude Code catalog,Official plugin marketplace,yes,Queue marketplace browsing instructions,yes,local:desktop/catalog.json,Standalone selection in the existing installer catalog.
UI UX Pro Max,Initial curated Claude Code catalog,Skill/reference,yes,Clone reference repository,yes,local:desktop/catalog.json,Standalone selection in the existing installer catalog.
Awesome Claude Skills,Initial curated Claude Code catalog,Catalog/reference,yes,Clone reference repository,yes,local:desktop/catalog.json,Standalone selection in the existing installer catalog.
Planning with Files,Initial curated Claude Code catalog,Skill,yes,Install with npx skills,yes,local:desktop/catalog.json,Standalone selection in the existing installer catalog.
Claude-Mem,Initial curated Claude Code catalog,Memory/context utility,yes,Install with npx,yes,local:desktop/catalog.json,Standalone selection in the existing installer catalog.
CodeGraph,Initial curated Claude Code catalog,CLI/tool,yes,Install npm global package,yes,local:desktop/catalog.json,Standalone selection in the existing installer catalog.
Graphify,Initial curated Claude Code catalog,Skill/CLI,yes,Install with npx skills,yes,local:desktop/catalog.json,Standalone selection in the existing installer catalog.
Repomix,Initial curated Claude Code catalog,CLI/MCP server,yes,Install CLI and register MCP server,yes,local:desktop/catalog.json,Standalone selection in the existing installer catalog.
Multica,Initial curated Claude Code catalog,Harness/framework,yes,Clone reference repository,yes,local:desktop/catalog.json,Standalone selection in the existing installer catalog.
Firecrawl,Initial curated Claude Code catalog,Plugin/MCP/CLI,yes,Install CLI and queue plugin note,yes,local:desktop/catalog.json,Standalone selection in the existing installer catalog.
CC Switch,Initial curated Claude Code catalog,Desktop CLI/tool,yes,Platform-aware desktop tool install or review,yes,local:desktop/catalog.json,Standalone selection in the existing installer catalog.
Vibe Kanban,Initial curated Claude Code catalog,Desktop/web tool,yes,Documentation-only review,yes,local:desktop/catalog.json,Standalone selection in the existing installer catalog.
GitHub MCP,Initial curated Claude Code catalog,MCP server,yes,Queue credential-sensitive setup note,yes,local:desktop/catalog.json,Standalone selection in the existing installer catalog.
Playwright MCP,Initial curated Claude Code catalog,MCP server,yes,Register MCP server,yes,local:desktop/catalog.json,Standalone selection in the existing installer catalog.
Claude Code Router,Initial curated Claude Code catalog,CLI/router,yes,Install npm global package,yes,local:desktop/catalog.json,Standalone selection in the existing installer catalog.
Awesome MCP Servers,Initial curated Claude Code catalog,Catalog/reference,yes,Clone reference repository,yes,local:desktop/catalog.json,Standalone selection in the existing installer catalog.
System Prompts AI,Initial curated Claude Code catalog,Reference/research,yes,Clone reference repository,yes,local:desktop/catalog.json,Standalone selection in the existing installer catalog.
Claude Code Best Practice,Initial curated Claude Code catalog,Reference/workflows,yes,Clone reference repository,yes,local:desktop/catalog.json,Standalone selection in the existing installer catalog.
Codex in Claude,Initial curated Claude Code catalog,CLI/plugin integration,yes,Queue manual-review note,yes,local:desktop/catalog.json,Standalone selection in the existing installer catalog.
Claude HUD,Initial curated Claude Code catalog,Plugin/monitoring,yes,Queue Claude Code plugin commands,yes,local:desktop/catalog.json,Standalone selection in the existing installer catalog.
Caveman,Initial curated Claude Code catalog,Cost/token workflow,yes,Clone reference repository,yes,local:desktop/catalog.json,Standalone selection in the existing installer catalog.
Convex for Claude Code,Convex Claude Code plugin,Claude Code plugin,yes,/plugin install convex@claude-plugins-official,yes,https://docs.convex.dev/ai/using-claude-code,"Parent plugin. The bundled skills, agents, MCP server, hooks, and monitors below are not separately installed."
add,Convex plugin bundled capability,Skill,no,Bundled with Convex for Claude Code,no,https://github.com/get-convex/convex-backend-skill,"Adds capabilities to the current Convex application by consulting a served capability catalog or falling back to component search. Optional components: [""@convex-dev/static-hosting""]"
agent,Convex plugin bundled capability,Skill,no,Bundled with Convex for Claude Code,no,https://github.com/get-convex/convex-backend-skill,"Adds an AI agent, chatbot, or RAG backend to a Convex project using durable threads, message history, and vector search. Optional components: [""@convex-dev/agent""]"
auth,Convex plugin bundled capability,Skill,no,Bundled with Convex for Claude Code,no,https://github.com/get-convex/convex-backend-skill,"Add end-to-end authentication to a Convex web application using passkeys, OAuth, or passwords. Optional components: [""@convex-dev/auth"", ""jose""]"
billing,Convex plugin bundled capability,Skill,no,Bundled with Convex for Claude Code,no,https://github.com/get-convex/convex-backend-skill,"Integrate Stripe billing, payments, and subscriptions into a Convex application using the @convex-dev/stripe component. Optional components: [""@convex-dev/stripe""]"
convex-authz,Convex plugin bundled capability,Skill,no,Bundled with Convex for Claude Code,no,https://github.com/get-convex/convex-backend-skill,Audit and harden a Convex application's authorization by identifying and fixing common security defects like identity impersonation and missing ownership checks. Optional components: []
